SA_Cover_thickness_50m_GDA94_NoData_dx,SA_Cover_thickness_50m_GDA94_NoData_dy,dem-9s_GDA94_SA_NoData_dx,dem-9s_GDA94_SA_NoData_dy,SA_CoverThickness_400m_GDA94_NoData_dx,SA_CoverThickness_400m_GDA94_NoData_dy
1.3523438,49.769043,1.9344201,-1.7503663,0.91417694,-0.31840628
4.81958,137.2627,0.058145143,0.61829376,0.3167718,2.6185603
60.588966,-73.852295,0.23534031,1.6523288,3.6368117,-7.487979
22.060669,106.45186,-1.0963256,0.89946747,-1.9831059,-2.6597035
5.78125,26.503124,0.0696743,-0.6277321,0.41771585,-3.314568
-120.33557,854.2621,-0.17817077,-0.063705444,-0.71526814,1.67983
-4.126367,19.591944,1.4864746,-0.8976685,0.004600563,0.026183244
27.581324,103.988174,1.9222412,-2.0831788,-0.194928,-0.050534748
104.46655,-1029.4987,0.8341507,0.12420654,2.7831898,-3.7289844
-799.575,193.13632,-0.61877596,0.0014663696,-0.024278164,-0.64317524
122.92549,-1059.4921,0.7998993,-0.68375397,2.9129815,-0.6785429
