Faults,Archaean - Early Mesoproterozoic polygons_Contact,Late Mesoproterozoic polygons_Contact,Middle Mesoproterozoic polygons_Contact,Neoproterozoic - Ordovician polygons_Contact,Archaean to early Mesoproterozoic geological provinces_Contact,Cainozoic geological provinces_Contact,Cambrian to late Carboniferous geological provinces_Contact,Jurassic to Cretaceous geolgocial provinces_Contact,Late Carboniferous to Triassic geological provinces_Contact,Middle to late Mesoproterozoic geoglocial provinces_Contact,Neoproterozoic geolgoical provinces_Contact,Res_C1,Res_C2,Res_C3,Res_C4,Res_C5,Res_C6,Res_C7,Res_C8,Res_C9,Res_C10,Res_C11
1994.36,33788.77,986.81,407565.61,1177.38,76082.96,43196.3,5332.29,71792.2,45660.22,33788.77,37343.86,3.31837919945781,0.1623132024224744,-0.124808538329933,-1.4169820807324192,-0.8108646441822414,-0.2933308684732389,-0.2538448358707219,-0.0756731776131385,-0.1316071293793101,0.3162158417386568,0.1730455610159361
2135.08,25475.3,166.85,554279.86,166.85,222894.51,1853.99,51696.25,274350.21,166834.98,47413.5,118868.49,2.594473217211495,0.2450070899113229,0.4866716002139604,-1.3639976551840725,-0.0742951752736634,-0.2678411677839206,0.1696823335614803,-0.1523461166014303,0.0221331184082955,0.091482088174264,0.073319618076214
4421.78,6509.35,250895.87,96856.73,18424.45,238615.76,3554.45,103889.15,10447.74,14632.47,96856.69,103889.15,6.735661565436759,-1.5095296802465883,1.1471067363537784,-2.050456997560945,0.0335736299540402,-0.304632416409585,1.872875398405994,0.545158790020278,-0.7639128234432409,0.1354632168835156,0.1139366028143498
1387.71,272.2,554593.68,115681.04,17594.44,184043.93,8075.73,122836.38,17400.63,17400.63,115681.1,17594.44,-0.8225292336587161,5.093756061363737,-0.8206092992480374,-3.7770202794579992,0.6999638063183513,-3.218989106483804,-0.9661865509947593,-0.1319702248483867,-0.7115366113679769,0.6403956419465976,-0.4610606550471727
443.4,1028.23,573155.58,206393.81,62837.0,94215.73,18552.23,134656.51,66163.13,66163.13,206912.89,62837.0,3.2902429926884724,6.027314907620586,-0.443723831335663,-2.8471111710178154,4.426083062167842,-0.1523058891215527,-3.6078940546111946,0.8246755375766164,-1.4882899684154502,-2.2078855878696326,-1.823958063891212
2746.43,49546.56,372.09,593765.22,372.09,244258.32,23427.23,58160.08,328198.2,235165.43,49546.56,49546.56,2.3531293695394093,0.8500763010587359,-0.7580153072488691,-0.1698188580777194,0.7652236470659799,0.2339831048237492,-0.2291811695573276,-0.448277495743455,0.4052318673186277,-0.0285874621491687,-0.0313260476606373
4410.56,7115.34,250911.78,97322.33,17871.02,238209.3,3622.2,104256.63,10993.92,15259.93,97322.29,104256.63,6.735661565436759,-1.5095296802465883,1.1471067363537784,-2.050456997560945,0.0335736299540402,-0.304632416409585,1.872875398405994,0.545158790020278,-0.7639128234432409,0.1354632168835156,0.1139366028143498
2859.03,330.97,213587.99,193079.18,23910.41,207915.11,1099.21,167308.52,137142.53,145988.62,193079.18,167768.33,4.391020705580834,-1.0126106579403131,2.498771985168044,-2.926681711612095,-2.088392108392255,-0.1616649157676863,0.5669212618040996,-0.4196738606725482,-0.1591517499572011,-0.0777271019961031,-0.2062822693460824
519.74,684.15,519.74,696377.95,9941.14,351043.75,12377.43,121109.73,420233.1,320527.29,656.88,111345.7,0.7824384618450482,2.3362309863582764,-0.7968801637884366,0.0388348655893893,0.7582053166856735,-0.0570642357237697,-0.3514421097219566,-0.6319389104521324,0.6928887978828241,-0.2136604738345223,0.0266630027212639
3225.33,2103.35,171936.57,246767.03,4179.84,161404.6,23609.73,155187.99,136751.8,147270.82,246776.75,130273.69,3.507491790586636,1.331778197090994,1.2622866132860315,-0.7759539206027871,-2.748540523936989,0.2993941003719783,0.1133910707931024,0.3544790006376791,-0.1759967931567123,-0.4909365519383483,0.358708806067625
141.45,11249.13,141.45,679480.85,9667.38,330644.19,1379.81,83549.28,382969.78,312569.28,11065.53,73366.32,0.8591204663545562,2.332926829162838,-0.8065492148910045,-0.0881963328696045,0.5969117417957693,-0.066972229153002,-0.4115416589317449,-0.6703009835169945,0.7003186021174375,-0.2281842634703084,0.0047641248588751
5436.24,5433.92,5433.92,703479.58,10516.35,354800.13,5618.96,101661.13,400422.83,334958.94,5619.05,90237.92,1.0732036128361646,2.1615230119224687,-0.7698577510171418,-0.2957627567863899,0.3375732472006392,-0.0960518735044847,-0.503617057340617,-0.6869486060060551,0.689166997016279,-0.2356778116595116,-0.0199448449362922
153.55,25684.58,153.55,628088.3,1061.63,287891.26,9049.74,125610.59,360556.59,247570.85,25663.7,117365.93,2.388814369816257,0.785040236539206,-0.4407385404252518,-0.5067248875229138,0.556605196560743,0.1084537946200077,-0.0517108252451497,-0.3500914439722987,0.2800967503482698,0.0202426321562182,-0.0029168179102555
198.66,1773.59,256857.79,84118.88,31737.49,249477.24,8670.22,102136.7,2815.58,3261.06,84118.85,102136.7,6.394384579438088,-1.0981447205240382,1.8147144996057984,-1.7112185107657598,0.1833635385144989,0.4713419490046272,2.132932353585298,0.556028657896736,-0.8465233886215602,0.185998072382302,0.0963275756314488
2691.58,4200.45,113886.7,271412.27,2740.19,107195.21,40379.21,109503.15,77449.32,105526.11,271411.69,72835.95,8.298144620032437,-2.106273470296049,1.8123829875184951,0.0695544678696502,-1.8265459557184436,1.473498871354836,-0.208222705798764,-0.9625712175738426,-0.1691123419879267,0.2724856820547821,-0.5341207152419339
10143.46,1398.6,276429.46,46750.85,10681.28,267222.91,38327.74,92034.15,46402.35,31351.81,46750.8,92034.15,16.77615556603763,-6.556997729827538,-1.4543389381899052,1.4659073360107966,2.582974909692071,0.2429061858871223,1.8662489260191488,0.1336863122173599,-1.1389961060971834,-0.0352713340853398,0.5362120566024041
3308.04,21597.06,856569.71,213235.62,521.25,31481.15,5002.31,1511.17,71212.66,54410.93,213554.91,21901.28,4.517138091041277,1.658534682394408,-1.6651224796628594,-2.1087582903348965,0.6149186089003956,-1.2650069779444415,1.4196660351993955,-1.0485628853713134,1.193696145401981,0.4379489605806393,0.4806515629704568
990.97,32144.94,941099.36,332720.4,751.29,103397.05,863.07,751.29,131960.96,7350.11,333091.57,28767.91,0.3906339677959243,3.697202454618121,-1.6692749251921222,0.416328470680483,0.718161675530293,0.0928855482494872,-0.6994086408214499,-0.3872165902151342,0.2759631845302647,0.4694632035426296,0.2752222901172711
1253.71,23726.85,140.87,465348.25,140.87,125153.11,65594.98,62621.56,90984.38,108156.8,23699.39,73988.96,4.062475554726056,-0.5219574124827528,-0.1501486537569414,-1.464547365716272,-0.7436694854855366,-0.2244193896580683,-0.2487849087247,-0.0362284902442503,-0.1718277984505816,0.294162099036934,0.172566969968091
134.54,2559.54,379793.69,196492.57,50851.5,215615.06,10480.08,287642.97,60333.33,60333.33,196492.6,50851.5,8.111435334866188,-0.2737634896417723,-3.597080549115069,2.227388810367812,-2.435785030263014,0.0883442673165167,-1.6918474665675445,-0.4448366883107968,-0.6560911663163416,0.5745900706051814,-0.0425646516580113
7302.15,11705.81,514941.16,207428.31,33592.64,140526.51,21964.75,179405.19,27083.63,27083.63,207222.25,33592.64,1.7825983070105156,4.431256492943215,0.4849380706244326,-1.9376824750387904,1.5462766757898496,2.51235092771304,-3.6267455027996927,1.5257332385014353,-1.5170793079827665,-2.172287028742033,-0.4744656616038216
2072.26,2320.06,470621.19,220684.71,7867.81,143024.81,18030.9,219317.4,5048.51,5048.51,213149.68,7867.81,1.310344452814873,1.0099252695038152,6.251647861930866,0.5824457833687956,-0.3343587510521255,1.14085611534312,-1.8351170885987185,-0.2889661685714916,0.1079700814265167,-1.7415667013051006,1.016227441364584
220.75,6164.58,944210.13,322424.44,1350.72,105778.46,14063.3,6318.9,117284.6,34920.28,322771.91,15162.98,-0.4300886275131876,4.499387599124961,-0.935067329136676,-0.8687778089972272,0.1142733751746792,-0.3288510109302682,0.0967267716282849,-0.1205431230775058,0.1438616592005676,0.4237809593605175,0.2576539069748878
4111.77,20131.79,858.01,473441.46,5261.68,135996.75,55224.31,69477.78,103782.28,113274.91,20111.33,85329.5,4.319498268505392,-0.905058189338286,0.0368530855680817,-1.4812400054599228,-0.7406775795899823,-0.2418278123720752,-0.2082079507746694,-0.0457141405309616,-0.2331216983472629,0.26751647735648,0.1641200522791753
2230.87,321.2,188622.94,166287.26,9695.21,171974.17,13530.24,84712.4,71661.77,73437.61,166287.23,84712.4,6.771132780260501,-3.87758613290108,2.1158167246734427,-1.9642089206717528,-0.5356827613936581,-0.2814664384888698,0.8766325268685505,-0.1954763150893538,-0.3539446942201765,-0.0610016849198014,-0.0022316482608407
